Emp ID,Name,DOB,SSN,State
214,Sarah Simpson,12/4/85,282-01-8166,Florida
15,Samantha Lara,9/8/93,848-80-7526,Colorado
411,Stacy Charles,12/20/57,658-75-8526,Pennsylvania
166,Michelle Roy,7/29/78,794-25-3944,Michigan
39,Joseph Rogers,3/28/85,525-40-3515,Minnesota
423,Erica Hines,10/13/75,034-90-6153,New York
192,Zoe Patel,12/20/67,037-50-0817,Wisconsin
162,Matthew Harvey,1/20/90,244-53-0346,Tennessee
131,Shawn Davis,7/21/61,309-08-1581,West Virginia
20,April Baldwin,8/7/61,068-61-2014,Missouri
246,Vincent Daniels,1/6/72,319-38-2754,Montana
525,Ann Fields,8/22/60,752-98-7911,Iowa
392,Jeffrey Pearson,5/5/79,171-82-2578,Illinois
474,Heather Johnson,9/23/89,724-30-0904,Georgia
478,Melissa Fletcher,3/14/79,899-91-6881,Rhode Island
101,Kimberly Alvarez,9/4/84,138-08-8680,Louisiana
52,Monica Jimenez,4/8/88,835-26-1668,North Dakota
182,Steven Johnson,5/28/62,026-20-7070,Nebraska
637,Sarah Wood,6/15/72,235-96-6715,Florida
510,Jesus Petersen,3/28/58,133-75-0770,Oklahoma
122,Rhonda Rosales,4/10/63,498-27-0286,Alabama
294,Nicole Richardson,9/9/81,369-83-5228,Louisiana
327,Jennifer Mendez,7/20/77,736-41-1994,Oregon
145,Sandra Petty,1/30/81,702-18-7629,North Carolina
565,Michael Hester,4/13/87,022-21-6836,South Dakota
590,Joseph Brown,8/28/82,517-03-4744,New Hampshire
340,Michelle Cooper,8/23/93,056-59-2306,Washington
176,Barbara Wise,12/15/91,894-82-7662,Indiana
63,Carol Rosales,7/20/84,874-92-4907,New Jersey
121,Mark Villa,2/24/69,700-15-2207,Mississippi
70,Russell Orozco,9/16/73,241-61-5514,Mississippi
446,Michelle Sanchez,8/21/94,377-34-5222,Oklahoma
156,Briana Ayala,10/31/65,039-74-4542,Connecticut
343,Shane Roberts,12/14/58,225-39-6030,Hawaii
599,Cassandra Morris,1/24/73,109-15-3831,Montana
102,Krista Thompson,7/25/84,827-54-7445,Kentucky
377,Jon Bennett,9/13/57,135-85-1689,New Mexico
240,April Thomas,12/3/93,372-48-3580,Colorado
455,Haley Martinez,1/15/68,179-78-3736,Idaho
503,Isaac Stafford,11/25/89,759-75-5036,South Dakota
